label,filename,sha256
B_channel,edenwave_rsi_v1_1_B_channel.json,edbfde4660f7924a5e3094ce14beed7258962cc8b76085255c427299300b3da4
rotor_channel,edenwave_rsi_rotor_channel_attestation.json,2e3f618d0cb8f6a258db9f98e984c7d49b16a4efe514bd38b02be2b428ecf598
HB_equilibrium,edenwave_rsi_hb_v1_0.json,beeedf4d7f5234f8f0b038b51d2dad3b08f927b752822058ba427c21c475607b
payout_derived_v1_1,edenwave_rsi_payout_derived_v1_1.json,c4b3125859d3378aad30ea2ea81463fc986bb29af4b520976617dac5259b762b
bundle_v1_5,edenwave_rsi_bundle_v1_5.json,20cb69f0a241c185e1024a40d7ae618cac2d389518d3e377f03a494b72972d45
siglist,edenwave_siglist_v1_0.json,9b22ff040b352eeb7bef5a41455f1e7d729bb0896275fa4d5e2a5347b4b1d82b
onchain_attestation_v1_1,edenwave_onchain_attestation_v1_1.json,1fae6686f507cc60a1dac075bc5cce63d9cd957296791f9ffc8ed921122cf02d
vault_v1_3,edenwave_vault_inscription_v1_3.json,4be9a0181669ac652a8df46bb77cd3e1ebd922cf5efeb59ffc1bad1b0fde1540
bloomburst_v1_3,bloom_ledger_bloomburst_v1_3.txt,360265f3783065b822fb83bbd7dc3f3aca48271bdccec078829f7b19cafc3906
signing_message,edenwave_signing_message_v1.txt,0e1578f74d5616873880f964265ee5aaf15cd964a8cabc8c0ec31a9a2910b93b
